"Date","Price","Open","High","Low","Change %"
"Jan 07, 2017","3.880","3.980","4.490","3.660","-8.27"
"Jan 06, 2017","4.230","3.880","4.340","3.830","-7.03"
"Jan 05, 2017","4.550","4.230","4.880","3.880","0.00"
"Jan 04, 2017","4.550","4.550","5.990","4.450","-0.22"
"Jan 03, 2017","4.560","4.550","4.650","4.420","1.11"
"Jan 02, 2017","4.510","4.560","4.900","4.400","3.44"
"Jan 01, 2017","4.360","4.510","4.570","4.340","0.23"
"Dec 31, 2016","4.350","4.360","4.480","4.280","-7.25"
"Dec 30, 2016","4.690","4.350","4.690","4.210","3.53"
"Dec 29, 2016","4.530","4.690","5.000","4.400","4.62"
"Dec 28, 2016","4.330","4.530","4.600","4.300","2.36"
"Dec 27, 2016","4.230","4.330","4.520","4.180","-1.63"
"Dec 26, 2016","4.300","4.230","4.370","4.130","-3.80"
"Dec 25, 2016","4.470","4.300","4.490","4.080","-0.45"
"Dec 24, 2016","4.490","4.470","5.140","4.200","21.68"
"Dec 23, 2016","3.690","4.490","4.490","3.650","0.82"
"Dec 22, 2016","3.660","3.690","3.880","3.620","1.10"
"Dec 21, 2016","3.620","3.660","3.910","3.620","-1.09"
"Dec 20, 2016","3.660","3.620","3.690","3.610","-0.81"
"Dec 19, 2016","3.690","3.660","3.710","3.610","-0.81"
"Dec 18, 2016","3.720","3.620","3.730","3.620","2.20"
"Dec 17, 2016","3.640","3.720","3.720","3.600","0.00"
"Dec 16, 2016","3.640","3.640","3.680","3.560","1.11"
"Dec 15, 2016","3.600","3.500","3.700","3.500","-1.37"
"Dec 14, 2016","3.650","3.600","3.660","3.600","0.27"
"Dec 13, 2016","3.640","3.650","3.680","3.620","0.00"
"Dec 12, 2016","3.640","3.640","3.690","3.620","-1.62"
"Dec 11, 2016","3.700","3.640","3.700","3.610","-1.07"
"Dec 10, 2016","3.740","3.700","3.740","3.630","2.47"
"Dec 09, 2016","3.650","3.740","3.740","3.610","-0.54"
"Dec 08, 2016","3.670","3.650","3.770","3.630","4.56"
"Dec 07, 2016","3.510","3.670","3.860","3.500","-1.96"
"Dec 06, 2016","3.580","3.500","3.580","3.420","-7.97"
"Dec 05, 2016","3.890","3.580","3.890","3.320","-0.26"
"Dec 04, 2016","3.900","3.890","3.920","3.860","-1.02"
"Dec 03, 2016","3.940","3.900","3.940","3.870","1.55"
"Dec 02, 2016","3.880","3.940","3.940","3.870","1.04"
"Dec 01, 2016","3.840","3.880","3.890","3.840","0.26"
"Nov 30, 2016","3.830","3.840","3.980","3.510","-0.26"
"Nov 29, 2016","3.840","3.830","3.910","3.810","-0.78"
"Nov 28, 2016","3.870","3.840","3.920","3.810","0.26"
"Nov 27, 2016","3.860","3.870","3.890","3.820","-0.26"
"Nov 26, 2016","3.870","3.860","3.910","3.810","-0.77"
"Nov 25, 2016","3.900","3.870","3.910","3.850","1.04"
"Nov 24, 2016","3.860","3.900","3.930","3.860","-1.03"
"Nov 23, 2016","3.900","3.860","3.970","3.860","-0.76"
"Nov 22, 2016","3.930","3.900","3.990","3.880","1.03"
"Nov 21, 2016","3.890","3.930","3.930","3.870","-0.77"
"Nov 20, 2016","3.920","3.890","3.990","3.860","1.29"
"Nov 19, 2016","3.870","3.920","3.990","3.850","-0.77"
"Nov 18, 2016","3.900","3.870","3.950","3.850","-0.51"
"Nov 17, 2016","3.920","3.900","3.960","3.810","0.00"
"Nov 16, 2016","3.920","3.920","4.060","3.860","1.29"
"Nov 15, 2016","3.870","3.920","3.960","3.840","0.26"
"Nov 14, 2016","3.860","3.870","3.910","3.810","2.93"
"Nov 13, 2016","3.750","3.860","3.940","3.650","-1.32"
"Nov 12, 2016","3.800","3.750","3.850","3.720","0.00"
"Nov 11, 2016","3.800","3.800","3.860","3.790","-4.52"
"Nov 10, 2016","3.980","3.800","3.980","3.790","1.79"
"Nov 09, 2016","3.910","3.980","3.990","3.770","0.77"
"Nov 08, 2016","3.880","3.910","3.910","3.840","-0.77"
"Nov 07, 2016","3.910","3.880","3.920","3.830","1.03"
"Nov 06, 2016","3.870","3.910","3.930","3.850","-0.26"
"Nov 05, 2016","3.880","3.870","3.940","3.860","-0.51"
"Nov 04, 2016","3.900","3.880","3.980","3.770","-4.18"
"Nov 03, 2016","4.070","3.900","4.340","3.800","1.24"
"Nov 02, 2016","4.020","4.070","4.350","3.990","1.01"
"Nov 01, 2016","3.980","4.020","4.500","3.920","1.27"
"Oct 31, 2016","3.930","3.980","4.070","3.920","-3.20"
"Oct 30, 2016","4.060","3.930","4.250","3.930","4.10"
"Oct 29, 2016","3.900","4.060","4.240","3.900","-2.26"
"Oct 28, 2016","3.990","3.900","4.020","3.880","2.57"
"Oct 27, 2016","3.890","3.990","4.140","3.890","1.04"
"Oct 26, 2016","3.850","3.890","3.960","3.760","-0.52"
"Oct 25, 2016","3.870","3.850","3.880","3.800","-0.26"
"Oct 24, 2016","3.880","3.870","3.890","3.820","1.04"
"Oct 23, 2016","3.840","3.880","3.890","3.700","1.32"
"Oct 22, 2016","3.790","3.840","3.880","3.750","-0.26"
"Oct 21, 2016","3.800","3.790","3.810","3.750","0.26"
"Oct 20, 2016","3.790","3.800","3.810","3.780","-3.07"
"Oct 19, 2016","3.910","3.790","3.910","3.790","2.36"
"Oct 18, 2016","3.820","3.910","3.910","3.800","-1.55"
"Oct 17, 2016","3.880","3.820","3.940","3.820","-1.02"
"Oct 16, 2016","3.920","3.880","3.940","3.860","2.62"
